"ll","tt","X1","X2","X3"
1,0,950,50,0
1,1,924,70,6
1,2,879,101,20
1,3,818,136,46
1,4,738,175,87
1,5,661,212,127
1,6,579,251,170
1,7,472,303,225
1,8,378,330,292
1,9,289,336,375
1,10,233,303,464
1,11,189,278,533
1,12,154,242,604
1,13,125,214,661
1,14,104,183,713
1,15,84,165,751
1,16,79,135,786
1,17,71,108,821
1,18,69,86,845
1,19,67,69,864
1,20,64,56,880
1,21,62,38,900
1,22,62,33,905
1,23,60,27,913
1,24,59,17,924
1,25,59,11,930
1,26,59,8,933
1,27,59,4,937
1,28,59,3,938
1,29,59,2,939
1,30,59,2,939
2,0,950,50,0
2,1,911,73,16
2,2,853,111,36
2,3,792,145,63
2,4,716,182,102
2,5,634,217,149
2,6,551,242,207
2,7,465,274,261
2,8,400,272,328
2,9,328,280,392
2,10,269,262,469
2,11,239,236,525
2,12,194,231,575
2,13,165,210,625
2,14,145,177,678
2,15,124,161,715
2,16,106,136,758
2,17,96,111,793
2,18,86,85,829
2,19,73,78,849
2,20,70,65,865
2,21,69,47,884
2,22,68,35,897
2,23,68,25,907
2,24,67,17,916
2,25,67,13,920
2,26,67,7,926
2,27,67,6,927
2,28,67,6,927
2,29,66,4,930
2,30,65,3,932
3,0,950,50,0
3,1,908,77,15
3,2,861,103,36
3,3,811,119,70
3,4,753,154,93
3,5,673,202,125
3,6,578,239,183
3,7,488,272,240
3,8,398,292,310
3,9,338,287,375
3,10,274,286,440
3,11,222,265,513
3,12,192,221,587
3,13,160,201,639
3,14,133,171,696
3,15,122,139,739
3,16,111,107,782
3,17,107,81,812
3,18,103,70,827
3,19,100,56,844
3,20,95,43,862
3,21,91,33,876
3,22,87,30,883
3,23,87,24,889
3,24,86,17,897
3,25,84,15,901
3,26,84,10,906
3,27,83,10,907
3,28,83,10,907
3,29,83,4,913
3,30,82,3,915
4,0,950,50,0
4,1,925,66,9
4,2,883,86,31
4,3,833,115,52
4,4,758,165,77
4,5,685,197,118
4,6,599,237,164
4,7,513,269,218
4,8,436,265,299
4,9,363,272,365
4,10,298,267,435
4,11,250,246,504
4,12,215,220,565
4,13,181,202,617
4,14,159,189,652
4,15,140,172,688
4,16,124,149,727
4,17,114,123,763
