"ll","tt","X1","X2","X3"
1,0,950,50,0
1,1,924,70,6
1,2,898,82,20
1,3,862,106,32
1,4,827,113,60
1,5,784,133,83
1,6,742,132,126
1,7,682,152,166
1,8,629,161,210
1,9,568,179,253
1,10,516,172,312
1,11,479,173,348
1,12,442,169,389
1,13,413,155,432
1,14,375,145,480
1,15,342,150,508
1,16,314,144,542
1,17,298,123,579
1,18,277,109,614
1,19,260,98,642
1,20,242,98,660
1,21,230,88,682
1,22,221,84,695
1,23,219,64,717
1,24,214,50,736
1,25,208,46,746
1,26,204,39,757
1,27,200,31,769
1,28,196,26,778
1,29,193,19,788
1,30,191,18,791
2,0,950,50,0
2,1,934,52,14
2,2,905,67,28
2,3,858,104,38
2,4,817,122,61
2,5,788,125,87
2,6,737,143,120
2,7,686,161,153
2,8,625,182,193
2,9,573,190,237
2,10,536,187,277
2,11,498,182,320
2,12,454,182,364
2,13,430,157,413
2,14,399,150,451
2,15,365,147,488
2,16,350,130,520
2,17,329,117,554
2,18,306,109,585
2,19,291,100,609
2,20,271,95,634
2,21,260,81,659
2,22,252,68,680
2,23,245,63,692
2,24,236,55,709
2,25,234,41,725
2,26,230,35,735
2,27,224,34,742
2,28,223,33,744
2,29,220,30,750
2,30,219,23,758
3,0,950,50,0
3,1,924,61,15
3,2,899,60,41
3,3,864,72,64
3,4,835,79,86
3,5,801,89,110
3,6,740,134,126
3,7,678,165,157
3,8,615,172,213
3,9,563,175,262
3,10,508,191,301
3,11,473,174,353
3,12,425,190,385
3,13,394,167,439
3,14,360,166,474
3,15,335,151,514
3,16,312,128,560
3,17,298,108,594
3,18,275,101,624
3,19,261,86,653
3,20,244,80,676
3,21,229,67,704
3,22,223,57,720
3,23,220,45,735
3,24,213,43,744
3,25,206,34,760
3,26,198,32,770
3,27,196,21,783
3,28,196,16,788
3,29,194,16,790
3,30,189,18,793
4,0,950,50,0
4,1,920,61,19
4,2,881,83,36
4,3,845,100,55
4,4,811,112,77
4,5,768,131,101
4,6,725,140,135
4,7,673,157,170
4,8,608,189,203
4,9,555,190,255
4,10,502,195,303
4,11,463,183,354
4,12,418,182,400
4,13,386,156,458
4,14,356,142,502
4,15,332,134,534
4,16,307,124,569
4,17,286,109,605
