"ll","tt","X1","X2","X3"
1,0,950,50,0
1,1,941,59,0
1,2,932,66,2
1,3,924,70,6
1,4,917,73,10
1,5,915,72,13
1,6,909,76,15
1,7,900,82,18
1,8,886,94,20
1,9,882,95,23
1,10,875,99,26
1,11,866,105,29
1,12,857,109,34
1,13,847,111,42
1,14,836,117,47
1,15,827,123,50
1,16,822,124,54
1,17,812,131,57
1,18,796,142,62
1,19,787,145,68
1,20,780,147,73
1,21,770,153,77
1,22,751,170,79
1,23,737,179,84
1,24,726,186,88
1,25,709,200,91
1,26,698,202,100
1,27,686,208,106
1,28,673,211,116
1,29,665,213,122
1,30,648,222,130
1,31,633,236,131
1,32,616,242,142
1,33,605,247,148
1,34,592,245,163
1,35,578,250,172
1,36,560,259,181
1,37,549,260,191
1,38,540,259,201
1,39,522,265,213
1,40,506,274,220
1,41,491,282,227
1,42,473,286,241
1,43,452,298,250
1,44,438,302,260
1,45,424,307,269
1,46,410,314,276
1,47,401,313,286
1,48,391,313,296
1,49,376,320,304
1,50,358,331,311
1,51,341,344,315
1,52,332,345,323
1,53,325,345,330
1,54,313,347,340
1,55,303,346,351
1,56,292,344,364
1,57,282,344,374
1,58,277,338,385
1,59,269,333,398
1,60,260,330,410
1,61,252,324,424
1,62,244,325,431
1,63,237,315,448
1,64,229,315,456
1,65,220,315,465
1,66,209,314,477
1,67,207,310,483
1,68,200,304,496
1,69,193,297,510
1,70,188,294,518
1,71,181,290,529
1,72,175,287,538
1,73,173,282,545
1,74,170,282,548
1,75,169,277,554
1,76,162,274,564
1,77,158,268,574
1,78,152,270,578
1,79,149,263,588
1,80,145,263,592
1,81,141,262,597
1,82,136,261,603
1,83,134,261,605
1,84,131,253,616
1,85,127,249,624
1,86,123,244,633
1,87,120,244,636
1,88,115,244,641
1,89,109,242,649
1,90,106,243,651
1,91,104,237,659
1,92,101,236,663
1,93,96,235,669
1,94,94,227,679
1,95,94,220,686
1,96,93,213,694
1,97,92,206,702
1,98,91,203,706
1,99,89,198,713
1,100,87,196,717
2,0,950,50,0
2,1,947,50,3
2,2,940,57,3
2,3,935,60,5
2,4,927,65,8
2,5,916,73,11
2,6,912,75,13
2,7,904,80,16
2,8,893,90,17
2,9,888,88,24
2,10,878,97,25
2,11,869,104,27
2,12,853,114,33
2,13,846,117,37
2,14,838,123,39
2,15,826,130,44
2,16,814,138,48
2,17,800,148,52
2,18,786,158,56
2,19,772,168,60
2,20,759,178,63
2,21,748,185,67
2,22,739,186,75
2,23,726,194,80
2,24,716,195,89
2,25,698,209,93
2,26,685,216,99
2,27,670,227,103
2,28,654,236,110
2,29,640,240,120
2,30,622,250,128
2,31,607,259,134
2,32,599,256,145
2,33,582,266,152
2,34,566,273,161
2,35,550,282,168
2,36,528,297,175
2,37,519,293,188
2,38,506,299,195
2,39,484,308,208
2,40,474,308,218
2,41,459,316,225
2,42,446,315,239
2,43,432,320,248
2,44,418,324,258
2,45,405,330,265
2,46,390,335,275
2,47,378,334,288
2,48,362,338,300
2,49,350,336,314
2,50,341,337,322
2,51,330,332,338
2,52,321,333,346
2,53,309,338,353
2,54,296,340,364
2,55,282,344,374
2,56,272,346,382
2,57,261,342,397
2,58,250,344,406
2,59,244,346,410
2,60,231,348,421
2,61,224,345,431
2,62,219,338,443
2,63,205,342,453
2,64,197,333,470
2,65,193,327,480
2,66,187,324,489
2,67,179,322,499
2,68,175,315,510
2,69,171,307,522
2,70,167,299,534
2,71,160,295,545
2,72,156,289,555
2,73,151,286,563
2,74,151,277,572
2,75,140,278,582
2,76,137,274,589
2,77,133,271,596
2,78,127,274,599
2,79,122,271,607
2,80,118,265,617
2,81,116,261,623
2,82,112,258,630
2,83,111,252,637
2,84,109,247,644
2,85,104,244,652
2,86,101,242,657
2,87,100,235,665
2,88,100,225,675
2,89,97,219,684
2,90,95,216,689
2,91,93,210,697
2,92,93,206,701
2,93,91,204,705
2,94,91,199,710
2,95,89,195,716
2,96,88,190,722
2,97,85,187,728
2,98,82,188,730
2,99,79,188,733
2,100,79,183,738
3,0,950,50,0
3,1,943,56,1
3,2,936,60,4
3,3,929,65,6
3,4,925,69,6
3,5,922,71,7
3,6,915,76,9
3,7,909,80,11
3,8,899,90,11
3,9,890,98,12
3,10,879,105,16
3,11,871,111,18
3,12,862,117,21
3,13,855,118,27
3,14,846,123,31
3,15,833,126,41
3,16,825,133,42
3,17,820,136,44
3,18,809,145,46
3,19,797,153,50
3,20,780,164,56
3,21,767,175,58
3,22,750,186,64
3,23,736,195,69
3,24,724,204,72
3,25,711,215,74
3,26,698,221,81
3,27,684,227,89
3,28,663,245,92
3,29,643,254,103
3,30,626,268,106
3,31,613,266,121
3,32,598,274,128
3,33,582,283,135
3,34,565,295,140
3,35,551,300,149
3,36,536,309,155
3,37,523,311,166
3,38,502,320,178
3,39,486,326,188
3,40,470,328,202
3,41,457,331,212
3,42,443,331,226
3,43,429,336,235
3,44,417,342,241
3,45,394,353,253
3,46,379,358,263
3,47,366,363,271
3,48,350,374,276
3,49,338,372,290
3,50,324,369,307
3,51,315,366,319
3,52,302,370,328
3,53,295,365,340
3,54,281,366,353
3,55,266,370,364
3,56,254,376,370
3,57,250,374,376
3,58,241,375,384
3,59,233,375,392
3,60,226,373,401
3,61,217,376,407
3,62,209,369,422
3,63,201,365,434
3,64,190,366,444
3,65,182,369,449
3,66,174,365,461
3,67,170,357,473
3,68,161,356,483
3,69,151,358,491
3,70,142,352,506
3,71,138,348,514
3,72,132,342,526
3,73,128,337,535
3,74,125,332,543
3,75,120,329,551
3,76,117,323,560
3,77,116,315,569
3,78,110,313,577
3,79,108,308,584
3,80,107,298,595
3,81,107,289,604
3,82,105,283,612
3,83,102,273,625
3,84,101,268,631
3,85,97,262,641
3,86,93,257,650
3,87,93,250,657
3,88,88,247,665
3,89,86,242,672
3,90,82,241,677
3,91,80,234,686
3,92,77,222,701
3,93,75,216,709
3,94,75,211,714
3,95,73,202,725
3,96,73,196,731
3,97,73,193,734
3,98,72,189,739
3,99,70,185,745
3,100,70,177,753
4,0,950,50,0
4,1,946,53,1
4,2,941,57,2
4,3,935,63,2
4,4,930,68,2
4,5,924,71,5
4,6,915,78,7
4,7,902,88,10
4,8,891,94,15
4,9,883,99,18
4,10,872,107,21
4,11,858,118,24
4,12,844,129,27
4,13,833,137,30
4,14,815,150,35
4,15,810,152,38
4,16,801,154,45
4,17,788,162,50
4,18,777,166,57
4,19,767,169,64
4,20,756,178,66
4,21,742,184,74
4,22,736,185,79
4,23,729,181,90
4,24,712,197,91
4,25,698,203,99
4,26,682,214,104
4,27,665,226,109
4,28,646,239,115
4,29,636,244,120
4,30,622,247,131
4,31,602,260,138
4,32,595,258,147
4,33,583,263,154
4,34,556,280,164
4,35,546,286,168
4,36,532,295,173
4,37,516,303,181
4,38,500,309,191
4,39,485,312,203
4,40,468,319,213
4,41,453,326,221
4,42,437,324,239
4,43,420,328,252
4,44,401,341,258
4,45,390,342,268
4,46,381,342,277
4,47,374,339,287
4,48,361,347,292
4,49,341,356,303
4,50,332,356,312
4,51,324,351,325
4,52,310,356,334
4,53,292,362,346
4,54,280,366,354
4,55,272,362,366
4,56,263,355,382
4,57,256,349,395
4,58,251,347,402
4,59,240,350,410
4,60,235,345,420
4,61,228,336,436
4,62,223,334,443
4,63,220,326,454
4,64,214,320,466
4,65,197,326,477
4,66,190,318,492
4,67,183,316,501
4,68,180,311,509
4,69,172,311,517
4,70,164,312,524
4,71,158,312,530
4,72,151,304,545
4,73,150,299,551
4,74,148,291,561
4,75,147,281,572
4,76,143,282,575
4,77,141,278,581
4,78,139,271,590
4,79,133,267,600
4,80,127,266,607
4,81,126,260,614
4,82,120,256,624
4,83,116,249,635
4,84,113,241,646
4,85,112,230,658
4,86,110,225,665
4,87,109,223,668
4,88,107,218,675
4,89,105,216,679
4,90,102,214,684
4,91,100,208,692
4,92,99,202,699
4,93,95,200,705
4,94,95,195,710
4,95,94,195,711
4,96,92,189,719
4,97,91,187,722
