"ll","tt","X1","X2","X3"
1,0,950,50,0
1,1,925,64,11
1,2,896,80,24
1,3,869,89,42
1,4,835,98,67
1,5,802,109,89
1,6,768,123,109
1,7,727,139,134
1,8,679,156,165
1,9,643,151,206
1,10,608,148,244
1,11,572,150,278
1,12,538,146,316
1,13,500,143,357
1,14,467,145,388
1,15,447,123,430
1,16,422,119,459
1,17,405,106,489
1,18,386,100,514
1,19,361,101,538
1,20,349,89,562
1,21,339,72,589
1,22,332,61,607
1,23,321,57,622
1,24,316,49,635
1,25,312,38,650
1,26,306,35,659
1,27,304,31,665
1,28,303,28,669
1,29,301,20,679
1,30,299,20,681
2,0,950,50,0
2,1,933,58,9
2,2,905,75,20
2,3,883,68,49
2,4,854,86,60
2,5,828,84,88
2,6,798,97,105
2,7,762,111,127
2,8,736,116,148
2,9,692,133,175
2,10,657,137,206
2,11,627,130,243
2,12,587,143,270
2,13,546,151,303
2,14,512,152,336
2,15,482,154,364
2,16,457,140,403
2,17,430,130,440
2,18,404,113,483
2,19,387,100,513
2,20,373,96,531
2,21,362,81,557
2,22,352,77,571
2,23,345,62,593
2,24,335,57,608
2,25,325,55,620
2,26,321,45,634
2,27,311,45,644
2,28,307,42,651
2,29,302,35,663
2,30,299,32,669
3,0,950,50,0
3,1,931,58,11
3,2,916,56,28
3,3,904,56,40
3,4,878,67,55
3,5,854,75,71
3,6,831,73,96
3,7,808,85,107
3,8,772,102,126
3,9,741,106,153
3,10,705,117,178
3,11,668,125,207
3,12,628,123,249
3,13,594,125,281
3,14,563,117,320
3,15,533,123,344
3,16,509,121,370
3,17,483,122,395
3,18,461,109,430
3,19,441,105,454
3,20,424,96,480
3,21,406,94,500
3,22,399,76,525
3,23,385,76,539
3,24,368,75,557
3,25,357,61,582
3,26,353,50,597
3,27,346,47,607
3,28,342,39,619
3,29,339,30,631
3,30,332,28,640
4,0,950,50,0
4,1,926,61,13
4,2,906,68,26
4,3,878,75,47
4,4,847,82,71
4,5,817,97,86
4,6,783,105,112
4,7,746,117,137
4,8,717,112,171
4,9,682,119,199
4,10,646,128,226
4,11,610,133,257
4,12,571,138,291
4,13,535,144,321
4,14,508,139,353
4,15,474,135,391
4,16,448,125,427
4,17,427,121,452
4,18,410,107,483
4,19,396,94,510
4,20,378,88,534
4,21,364,76,560
4,22,357,68,575
4,23,348,63,589
4,24,339,51,610
4,25,331,50,619
4,26,326,43,631
4,27,319,35,646
4,28,311,36,653
4,29,306,32,662
4,30,301,28,671
5,0,950,50,0
5,1,924,65,11
5,2,903,71,26
5,3,877,79,44
5,4,851,93,56
5,5,819,104,77
5,6,781,120,99
5,7,736,125,139
5,8,700,129,171
5,9,659,132,209
5,10,621,132,247
5,11,588,131,281
5,12,557,131,312
5,13,522,132,346
5,14,496,123,381
5,15,465,121,414
5,16,446,111,443
5,17,426,103,471
5,18,410,101,489
5,19,388,102,510
5,20,371,94,535
5,21,354,91,555
5,22,338,89,573
5,23,327,82,591
5,24,317,75,608
5,25,306,60,634
5,26,296,57,647
5,27,290,49,661
5,28,285,37,678
5,29,281,32,687
5,30,280,20,700
6,0,950,50,0
6,1,929,61,10
6,2,910,66,24
6,3,886,75,39
6,4,864,78,58
6,5,839,91,70
6,6,809,94,97
6,7,777,100,123
6,8,742,103,155
6,9,708,104,188
6,10,673,117,210
6,11,638,122,240
6,12,609,113,278
6,13,584,113,303
6,14,557,116,327
6,15,540,105,355
6,16,516,93,391
6,17,497,87,416
6,18,481,83,436
6,19,466,76,458
6,20,447,79,474
6,21,440,63,497
6,22,432,57,511
6,23,426,48,526
6,24,416,50,534
6,25,409,42,549
6,26,400,47,553
6,27,396,43,561
6,28,388,44,568
6,29,383,35,582
6,30,377,30,593
7,0,950,50,0
7,1,929,66,5
7,2,903,71,26
7,3,873,82,45
7,4,838,93,69
7,5,799,113,88
7,6,763,124,113
7,7,719,145,136
7,8,669,158,173
7,9,628,163,209
7,10,586,172,242
7,11,540,175,285
7,12,511,168,321
7,13,480,149,371
7,14,451,148,401
7,15,424,136,440
7,16,405,121,474
7,17,385,118,497
7,18,364,115,521
7,19,346,101,553
7,20,334,88,578
7,21,322,74,604
