"ll","tt","X1","X2","X3"
1,0,950,50,0
1,1,931,57,12
1,2,901,67,32
1,3,869,82,49
1,4,821,103,76
1,5,780,114,106
1,6,721,146,133
1,7,661,176,163
1,8,608,176,216
1,9,558,184,258
1,10,518,178,304
1,11,465,185,350
1,12,431,169,400
1,13,398,157,445
1,14,365,151,484
1,15,337,132,531
1,16,315,128,557
1,17,294,116,590
1,18,273,115,612
1,19,254,106,640
1,20,236,102,662
1,21,223,84,693
1,22,206,72,722
1,23,202,63,735
1,24,199,50,751
1,25,194,40,766
1,26,190,33,777
1,27,188,25,787
1,28,187,22,791
1,29,184,20,796
1,30,182,17,801
2,0,950,50,0
2,1,927,57,16
2,2,895,75,30
2,3,856,102,42
2,4,807,126,67
2,5,761,148,91
2,6,711,156,133
2,7,651,174,175
2,8,601,184,215
2,9,554,188,258
2,10,509,179,312
2,11,454,183,363
2,12,404,182,414
2,13,358,175,467
2,14,322,168,510
2,15,302,149,549
2,16,285,136,579
2,17,264,129,607
2,18,243,115,642
2,19,237,88,675
2,20,229,77,694
2,21,223,65,712
2,22,220,52,728
2,23,211,49,740
2,24,202,46,752
2,25,199,36,765
2,26,195,26,779
2,27,191,24,785
2,28,189,16,795
2,29,186,14,800
2,30,184,11,805
3,0,950,50,0
3,1,929,57,14
3,2,903,73,24
3,3,866,85,49
3,4,830,99,71
3,5,781,124,95
3,6,740,138,122
3,7,685,161,154
3,8,629,176,195
3,9,577,189,234
3,10,526,192,282
3,11,472,206,322
3,12,422,201,377
3,13,383,198,419
3,14,353,179,468
3,15,331,162,507
3,16,307,140,553
3,17,283,130,587
3,18,263,126,611
3,19,255,103,642
3,20,242,93,665
3,21,236,80,684
3,22,227,71,702
3,23,218,52,730
3,24,211,45,744
3,25,205,42,753
3,26,201,36,763
3,27,195,32,773
3,28,192,28,780
3,29,189,26,785
3,30,188,19,793
4,0,950,50,0
4,1,923,65,12
4,2,891,76,33
4,3,856,92,52
4,4,813,110,77
4,5,772,117,111
4,6,711,150,139
4,7,664,150,186
4,8,616,159,225
4,9,563,163,274
4,10,511,175,314
4,11,455,192,353
4,12,414,183,403
4,13,376,173,451
4,14,339,173,488
4,15,316,155,529
4,16,298,136,566
4,17,278,128,594
4,18,267,109,624
4,19,252,99,649
4,20,237,87,676
4,21,229,69,702
4,22,217,66,717
4,23,209,50,741
4,24,200,39,761
4,25,195,36,769
4,26,195,26,779
4,27,188,26,786
4,28,185,23,792
4,29,183,19,798
4,30,181,19,800
5,0,950,50,0
5,1,924,68,8
5,2,887,85,28
5,3,850,102,48
5,4,812,110,78
5,5,765,138,97
5,6,720,141,139
5,7,662,164,174
5,8,610,175,215
5,9,552,189,259
5,10,507,189,304
5,11,456,194,350
5,12,407,203,390
5,13,376,188,436
5,14,345,183,472
5,15,316,162,522
5,16,292,147,561
5,17,274,121,605
5,18,263,108,629
5,19,253,90,657
5,20,236,80,684
5,21,229,67,704
5,22,219,64,717
5,23,217,49,734
5,24,214,39,747
5,25,207,36,757
5,26,201,34,765
5,27,199,31,770
5,28,195,25,780
5,29,193,20,787
5,30,192,15,793
6,0,950,50,0
6,1,931,55,14
6,2,907,63,30
6,3,880,70,50
6,4,836,95,69
6,5,792,115,93
6,6,753,124,123
6,7,684,168,148
6,8,625,179,196
6,9,582,179,239
6,10,529,175,296
6,11,485,178,337
6,12,450,161,389
6,13,402,165,433
6,14,362,165,473
6,15,327,153,520
6,16,311,120,569
6,17,296,106,598
6,18,274,95,631
6,19,268,70,662
6,20,254,66,680
6,21,246,53,701
6,22,240,47,713
6,23,234,41,725
6,24,228,33,739
6,25,220,32,748
6,26,217,22,761
6,27,216,15,769
6,28,210,18,772
6,29,206,13,781
6,30,202,12,786
7,0,950,50,0
7,1,931,56,13
7,2,905,67,28
7,3,872,83,45
7,4,827,107,66
7,5,779,129,92
7,6,715,158,127
7,7,668,162,170
7,8,622,174,204
7,9,569,184,247
7,10,511,200,289
7,11,464,185,351
7,12,412,187,401
7,13,363,185,452
7,14,332,168,500
7,15,299,164,537
7,16,276,142,582
7,17,255,128,617
7,18,237,110,653
7,19,222,98,680
7,20,210,87,703
7,21,199,71,730
7,22,189,67,744
7,23,184,62,754
7,24,178,48,774
7,25,174,43,783
7,26,169,38,793
