"ll","tt","X1","X2","X3"
1,0,950,50,0
1,1,930,58,12
1,2,912,66,22
1,3,885,79,36
1,4,848,97,55
1,5,798,125,77
1,6,746,137,117
1,7,681,170,149
1,8,625,182,193
1,9,570,191,239
1,10,516,201,283
1,11,467,205,328
1,12,420,198,382
1,13,385,188,427
1,14,353,172,475
1,15,320,161,519
1,16,300,151,549
1,17,275,138,587
1,18,256,108,636
1,19,242,98,660
1,20,233,83,684
1,21,232,69,699
1,22,221,56,723
1,23,214,50,736
1,24,210,39,751
1,25,203,36,761
1,26,199,32,769
1,27,195,28,777
1,28,192,23,785
1,29,189,24,787
1,30,188,20,792
2,0,950,50,0
2,1,927,62,11
2,2,896,81,23
2,3,848,106,46
2,4,806,120,74
2,5,760,141,99
2,6,711,149,140
2,7,653,169,178
2,8,603,188,209
2,9,551,202,247
2,10,493,209,298
2,11,426,225,349
2,12,373,222,405
2,13,339,193,468
2,14,313,173,514
2,15,284,151,565
2,16,257,141,602
2,17,244,118,638
2,18,230,99,671
2,19,217,90,693
2,20,211,76,713
2,21,207,59,734
2,22,202,44,754
2,23,201,36,763
2,24,198,32,770
2,25,197,25,778
2,26,195,20,785
2,27,191,18,791
2,28,189,17,794
2,29,187,15,798
2,30,185,9,806
3,0,950,50,0
3,1,930,57,13
3,2,902,77,21
3,3,873,88,39
3,4,825,120,55
3,5,785,129,86
3,6,731,142,127
3,7,679,160,161
3,8,628,181,191
3,9,569,194,237
3,10,509,202,289
3,11,463,195,342
3,12,412,196,392
3,13,376,176,448
3,14,342,171,487
3,15,311,161,528
3,16,286,150,564
3,17,269,123,608
3,18,247,109,644
3,19,238,88,674
3,20,222,79,699
3,21,214,65,721
3,22,206,61,733
3,23,197,50,753
3,24,193,39,768
3,25,190,33,777
3,26,187,31,782
3,27,181,27,792
3,28,180,20,800
3,29,179,15,806
3,30,178,10,812
4,0,950,50,0
4,1,923,69,8
4,2,895,82,23
4,3,858,95,47
4,4,814,116,70
4,5,764,145,91
4,6,723,153,124
4,7,671,165,164
4,8,619,184,197
