"ll","tt","X1","X2","X3"
1,0,950,50,0
1,1,930,59,11
1,2,887,83,30
1,3,836,114,50
1,4,756,170,74
1,5,663,221,116
1,6,578,256,166
1,7,490,286,224
1,8,407,294,299
1,9,335,283,382
1,10,284,270,446
1,11,247,229,524
1,12,208,212,580
1,13,173,201,626
1,14,152,179,669
1,15,143,142,715
1,16,131,118,751
1,17,125,100,775
1,18,118,79,803
1,19,111,73,816
1,20,105,60,835
1,21,103,49,848
1,22,99,39,862
1,23,97,32,871
1,24,94,28,878
1,25,91,27,882
1,26,89,21,890
1,27,87,17,896
1,28,87,14,899
1,29,86,10,904
1,30,85,8,907
2,0,950,50,0
2,1,918,69,13
2,2,877,93,30
2,3,815,119,66
2,4,759,145,96
2,5,669,200,131
2,6,568,249,183
2,7,487,265,248
2,8,409,277,314
2,9,333,282,385
2,10,280,268,452
2,11,234,234,532
2,12,195,204,601
2,13,168,169,663
2,14,157,138,705
2,15,146,116,738
2,16,135,97,768
2,17,125,87,788
2,18,115,72,813
2,19,109,66,825
2,20,107,57,836
2,21,100,50,850
2,22,95,39,866
2,23,92,35,873
2,24,89,32,879
2,25,87,29,884
2,26,86,18,896
2,27,85,13,902
2,28,84,11,905
2,29,84,7,909
2,30,84,5,911
3,0,950,50,0
3,1,920,66,14
3,2,887,81,32
3,3,842,95,63
3,4,774,136,90
3,5,677,192,131
3,6,587,236,177
3,7,497,271,232
3,8,427,275,298
3,9,353,275,372
3,10,288,274,438
3,11,233,260,507
3,12,199,241,560
3,13,164,223,613
3,14,143,184,673
3,15,127,158,715
3,16,113,128,759
3,17,104,104,792
3,18,96,87,817
3,19,91,70,839
3,20,90,53,857
3,21,89,44,867
3,22,88,37,875
3,23,87,30,883
3,24,82,26,892
3,25,81,21,898
3,26,80,17,903
3,27,80,12,908
3,28,80,12,908
3,29,80,9,911
3,30,79,8,913
4,0,950,50,0
4,1,929,61,10
4,2,884,86,30
4,3,832,114,54
4,4,765,154,81
4,5,695,178,127
4,6,589,242,169
4,7,482,287,231
4,8,398,296,306
4,9,338,273,389
4,10,270,269,461
4,11,226,247,527
4,12,192,226,582
4,13,165,193,642
4,14,142,167,691
4,15,128,141,731
4,16,110,115,775
4,17,99,99,802
4,18,97,76,827
4,19,90,63,847
4,20,79,52,869
4,21,77,42,881
4,22,74,35,891
4,23,72,25,903
4,24,69,24,907
4,25,68,15,917
4,26,66,12,922
4,27,65,10,925
4,28,65,7,928
4,29,64,8,928
4,30,64,7,929
5,0,950,50,0
5,1,917,68,15
5,2,872,95,33
5,3,820,120,60
5,4,763,152,85
5,5,682,191,127
5,6,574,261,165
5,7,498,268,234
5,8,421,287,292
5,9,352,283,365
